东原D7四期,2室2厅,83.87平米,西北,毛坯,有电梯,低楼层(共26层)2013年建塔楼,大石坝,72,8585,
首创鸿恩中心,2室2厅,81.37平米,西南,毛坯,中楼层(共43层)2015年建塔楼,大石坝,78,9586,
龙湖春森彼岸,2室2厅,90.6平米,西,毛坯,有电梯,中楼层(共37层)2008年建塔楼,北滨路,12,13246,
龙湖春森彼岸,3室2厅,109.47平米,东,毛坯,有电梯,中楼层(共56层)2010年建塔楼,北滨路,14,13063,
金科十年城北区,3室2厅,128平米,西,其他,有电梯,中楼层(共34层)2013年建塔楼,石马河,13,10157,
东原D7一期,1室1厅,59.82平米,东,其他,有电梯,高楼层(共43层)2011年建塔楼,大石坝,65,10866,
国奥村,2室2厅,98平米,南,精装,有电梯,中楼层(共18层)2014年建板楼,石马河,90,9184,
东原D8公馆,1室0厅,33.53平米,东,其他,有电梯,高楼层(共32层)2015年建板塔结合,大石坝,35,10439,
龙湖源著南区,5室2厅,200.95平米,北,其他,有电梯,高楼层(共11层)2012年建板楼,石子山,34,16920,
国兴北岸江山西区,3室2厅,126平米,南,毛坯,有电梯,低楼层(共33层)2013年建塔楼,北滨路,12,9921,
华润中央公园,3室2厅,120平米,东北,其他,有电梯,中楼层(共33层)2013年建塔楼,大石坝,12,10000,
龙湖源著北区,4室2厅,175.81平米,南,毛坯,有电梯,低楼层(共8层)2011年建塔楼,石子山,27,15642,
金科十年城北区,3室2厅,109.7平米,北,毛坯,有电梯,低楼层(共33层)2013年建塔楼,石马河,86,7840,
龙湖源著北区,4室2厅,163.93平米,南,毛坯,有电梯,中楼层(共8层)2011年建塔楼,石子山,26,15861,
中海紫御江山,2室2厅,91平米,东,精装,有电梯,高楼层(共48层)2013年建塔楼,江北嘴,14,15935,
融景城澜岸,2室1厅,113平米,南,毛坯,有电梯,低楼层(共30层)2013年建塔楼,北滨路,16,14602,
融景城澜岸,2室2厅,113平米,南,毛坯,有电梯,高楼层(共46层)2013年建塔楼,北滨路,15,13275,
首创鸿恩国际生活区,2室2厅,91平米,西北,毛坯,有电梯,中楼层(共33层)2012年建板楼,大石坝,90,9891,
兴茂盛世北辰B区,4室2厅,139平米,东南,毛坯,有电梯,高楼层(共31层)2010年建塔楼,南桥寺,12,8634,
